ra,dec
161.21002407441256,-59.92912682201919
161.31026959346352,-59.905155241574086
161.27946185087757,-59.90482410254816
161.30168712153727,-59.90378036726961
161.30221302340416,-59.90537617222976
161.23968370199796,-59.90823209855307
161.2039882616469,-59.91511865928446
161.26778182479939,-59.90983470017818
161.27047658010028,-59.88744166182873
161.2200908300772,-59.87908547446012
161.2450995907636,-59.87841518270838
161.24367583873496,-59.878565624253845
161.56098024413106,-59.819755858734304
161.5658025682046,-59.80549204129951
161.58350609451904,-59.801812270881435
161.56525670077815,-59.78558250708192
161.3575128284851,-59.89184872300984
161.43785081340275,-59.86529038417021
161.41806176321927,-59.87539336026328
161.3688296412158,-59.86495254164802
161.368585182596,-59.86363191448355
161.38265050301382,-59.85259981906821
161.4358164157679,-59.84472371992079
161.44189898806115,-59.84606537929161
161.38580573318737,-59.83468207970192
161.40575369193027,-59.84189711156926
161.3904422520734,-59.833192819988895
161.32088689542906,-59.90018461659217
161.34071229934418,-59.89680833877136
161.28933258900267,-59.89082535708131
161.31353216204184,-59.87981953966748
161.34978903811069,-59.88133681595861
161.34023463425982,-59.870111316036564
161.3414147429592,-59.860909236053566
161.27217884763957,-59.8585998034015
161.23617575640944,-59.865715781790065
161.2447615345351,-59.8677101094032
161.25315759261613,-59.83064472425006
161.2683418489832,-59.8356285649067
161.34278379892802,-59.846388918940455
161.38946657874683,-59.82427323415944
161.37931034985223,-59.81697282154355
161.340009828223,-59.812698570456554
161.33244827835756,-59.82042706254019
161.34567333662332,-59.810652160021526
161.31160682318972,-59.824912573215165
161.31443279290755,-59.818932806948325
161.3225222262078,-59.82190173673831
161.2868451316184,-59.820647242348485
161.27486610629256,-59.80171667266684
161.32317011377,-59.8058322796105
161.45182828230682,-59.84281135451498
161.48118390682592,-59.83614819153491
161.47516560963172,-59.83033556689587
161.50741559710195,-59.82726607902458
161.50478400314415,-59.82831659129432
161.519881372421,-59.82267558867787
161.51209758136088,-59.84049958423034
161.5114955954001,-59.83863897528576
161.46834605956562,-59.81867759144023
161.4664170470447,-59.81405513880613
161.4882254997998,-59.816571162286834
161.47830641325677,-59.80429081780181
161.41806454576565,-59.82140623070138
161.45648477136382,-59.80577051456394
161.46216926222863,-59.80165220839119
161.4323246031057,-59.79630363860469
161.51336593879424,-59.79279439505299
161.53547911090632,-59.79686046270895
161.4992643344119,-59.77638427717298
161.5246875742456,-59.78639770875805
161.55392629652303,-59.77885567747453
161.49988458139435,-59.766503585625856
161.46767415252936,-59.772391581287174
161.48058922985012,-59.77138774873051
161.4419177568591,-59.777306119564194
161.44170369630766,-59.763532087181574
161.48684644264472,-59.76209008081669
161.4012804363734,-59.80645007762246
161.39026918964763,-59.78738685201376
161.40303925698603,-59.78384861732417
161.42151340815758,-59.773241856184065
161.37943364518063,-59.76836213989694
161.31982366856013,-59.774651502381204
161.346009494278,-59.77889558376756
161.34071620783925,-59.7684961784773
161.30399987879892,-59.768312706360796
161.30458163804676,-59.753407150397905
161.30085950640924,-59.750112231119076
161.34118044257343,-59.75690233005501
161.33263738986884,-59.75003577705615
161.34623237309927,-59.74604264061113
161.30294627215054,-59.74614105386843
161.30949395897997,-59.74585514351736
161.33218193287948,-59.744521656364654
161.40247869716535,-59.7363433680332
161.4241551020669,-59.72092771308311
161.43726279286304,-59.72127762196777
161.40855976295663,-59.7359247435239
161.36081683514678,-59.729830160299585
161.33813169464656,-59.73525883417705
161.31953253181834,-59.72054753273973
161.32734770215,-59.73049115349507
161.3187638664455,-59.726946506095175
161.34069706221234,-59.71913036006583
161.33564473727915,-59.714222151974404
161.34432165748183,-59.71653065153384
161.3288736006396,-59.70509454493066
161.34402718731917,-59.71018763822981
161.33562867595455,-59.705910054465534
161.38554157012956,-59.70994821413412
161.36854236198076,-59.69871886690554
161.33772167773304,-59.69566335653326
161.33364840317432,-59.70229790209641
161.350579736486,-59.708704813863186
161.5947334192843,-59.78617890242122
161.6110454657022,-59.77706903204322
161.61616598532873,-59.75738430811116
161.61987868535556,-59.75043269453208
161.62637990419174,-59.7502712051593
161.67282506453694,-59.710586964630664
161.6283273145477,-59.73818365487604
161.624727329722,-59.728893980445974
161.64140379013648,-59.72823119531935
161.63690414178143,-59.71666977389081
161.64801164260592,-59.70722118229398
161.61431656765285,-59.691400905351664
161.65903079836937,-59.678966921328794
161.63455505685442,-59.66974385942111
161.68575622498372,-59.66323739762665
161.6491109186017,-59.64691071864182
161.73745521188647,-59.647941200697105
161.70939547344173,-59.65200376471528
161.72682900977028,-59.654138126989515
161.73505365859316,-59.63265987200853
161.73454579193844,-59.61182425110311
161.68174089490557,-59.62528952616009
161.68967553427467,-59.6272674924847
161.65884517717208,-59.62405418889895
161.68990704232115,-59.617687429478515
161.6623174398445,-59.601802480755
161.68562780053605,-59.60293113109377
161.54926029954265,-59.75891155387256
161.51497332687518,-59.70450233122859
161.5979369403996,-59.70155651704931
161.5895308770304,-59.709877797884324
161.59309583362054,-59.697002824986164
161.56988319551064,-59.67631728291816
161.5626716281238,-59.67196825870214
161.5186633031605,-59.682792978111586
161.5273531861725,-59.681881423252634
161.50789962841827,-59.66732072083133
161.54571598877183,-59.66135047448623
161.52000936296054,-59.6559802743733
161.5231653935607,-59.64695859347265
161.4371941886607,-59.69290093383891
161.40906940577588,-59.70434471558529
161.40969535245236,-59.70214888927025
161.39909374899946,-59.69745948593397
161.46156518518157,-59.699592886925274
161.43182093662764,-59.66497426701538
161.38052024280367,-59.68700720787752
161.38137494406925,-59.69246454724954
161.39524429628042,-59.678814558957484
161.35299308037293,-59.681744267582154
161.3549624277284,-59.6669345034289
161.35850056702657,-59.66730133485455
161.43532387169114,-59.657141865488796
161.4462485497462,-59.642995027495985
161.48215295848541,-59.647017793600355
161.44312683519607,-59.62725067390342
161.40777914600045,-59.63355046907468
161.42319679986113,-59.63892365485629
161.43180202349038,-59.62818852150229
161.41912023383134,-59.617828496675706
161.4215333085504,-59.61087686031089
161.43302895908073,-59.60883458214135
161.5711520137563,-59.655419688841626
161.58297824880734,-59.66061719247101
161.62691058346425,-59.645649418037884
161.54089241804738,-59.640751587782084
161.52142808212588,-59.6313570877037
161.56595436351623,-59.611536358424914
161.53987325036252,-59.61228210559317
161.64864054434707,-59.61680912634126
161.63085107088662,-59.596005179878986
161.6177601624642,-59.61096282650366
161.5860797489499,-59.57127481630413
161.60110651054032,-59.57497827043738
161.5998875467342,-59.556861454746155
